16:18:34,765 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_0_, geek0_.adresseMail as adresseM2_0_0_, geek0_.genre as genre3_0_0_, geek0_.nom as nom4_0_0_, geek0_.nomCentre as nomCentr5_0_0_, geek0_.prenom as prenom6_0_0_ from geek geek0_ where geek0_.ID=?
16:19:49,789 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_0_, geek0_.adresseMail as adresseM2_0_0_, geek0_.genre as genre3_0_0_, geek0_.nom as nom4_0_0_, geek0_.nomCentre as nomCentr5_0_0_, geek0_.prenom as prenom6_0_0_ from geek geek0_ where geek0_.ID=?
16:20:08,413 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_0_, geek0_.adresseMail as adresseM2_0_0_, geek0_.genre as genre3_0_0_, geek0_.nom as nom4_0_0_, geek0_.nomCentre as nomCentr5_0_0_, geek0_.prenom as prenom6_0_0_ from geek geek0_ where geek0_.ID=?
16:21:32,793 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_0_, geek0_.adresseMail as adresseM2_0_0_, geek0_.genre as genre3_0_0_, geek0_.nom as nom4_0_0_, geek0_.nomCentre as nomCentr5_0_0_, geek0_.prenom as prenom6_0_0_ from geek geek0_ where geek0_.ID=?
16:21:33,022 DEBUG main hibernate.SQL:109 - call next value for geek_seq
16:23:29,364 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_0_, geek0_.adresseMail as adresseM2_0_0_, geek0_.genre as genre3_0_0_, geek0_.nom as nom4_0_0_, geek0_.nomCentre as nomCentr5_0_0_, geek0_.prenom as prenom6_0_0_ from geek geek0_ where geek0_.ID=?
08:49:55,119 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_0_, geek0_.adresseMail as adresseM2_0_0_, geek0_.genre as genre3_0_0_, geek0_.nom as nom4_0_0_, geek0_.nomCentre as nomCentr5_0_0_, geek0_.prenom as prenom6_0_0_ from geek geek0_ where geek0_.ID=?
08:51:45,477 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_, geek0_.adresseMail as adresseM2_0_, geek0_.genre as genre3_0_, geek0_.nom as nom4_0_, geek0_.nomCentre as nomCentr5_0_, geek0_.prenom as prenom6_0_ from geek geek0_
08:51:45,737 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_0_, geek0_.adresseMail as adresseM2_0_0_, geek0_.genre as genre3_0_0_, geek0_.nom as nom4_0_0_, geek0_.nomCentre as nomCentr5_0_0_, geek0_.prenom as prenom6_0_0_ from geek geek0_ where geek0_.ID=?
08:52:39,466 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_, geek0_.adresseMail as adresseM2_0_, geek0_.genre as genre3_0_, geek0_.nom as nom4_0_, geek0_.nomCentre as nomCentr5_0_, geek0_.prenom as prenom6_0_ from geek geek0_
08:52:39,691 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_0_, geek0_.adresseMail as adresseM2_0_0_, geek0_.genre as genre3_0_0_, geek0_.nom as nom4_0_0_, geek0_.nomCentre as nomCentr5_0_0_, geek0_.prenom as prenom6_0_0_ from geek geek0_ where geek0_.ID=?
08:56:25,915 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_, geek0_.adresseMail as adresseM2_0_, geek0_.genre as genre3_0_, geek0_.nom as nom4_0_, geek0_.nomCentre as nomCentr5_0_, geek0_.prenom as prenom6_0_ from geek geek0_
08:56:26,141 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_0_, geek0_.adresseMail as adresseM2_0_0_, geek0_.genre as genre3_0_0_, geek0_.nom as nom4_0_0_, geek0_.nomCentre as nomCentr5_0_0_, geek0_.prenom as prenom6_0_0_ from geek geek0_ where geek0_.ID=?
08:56:44,003 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_0_, geek0_.adresseMail as adresseM2_0_0_, geek0_.genre as genre3_0_0_, geek0_.nom as nom4_0_0_, geek0_.nomCentre as nomCentr5_0_0_, geek0_.prenom as prenom6_0_0_ from geek geek0_ where geek0_.ID=?
08:56:44,329 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_, geek0_.adresseMail as adresseM2_0_, geek0_.genre as genre3_0_, geek0_.nom as nom4_0_, geek0_.nomCentre as nomCentr5_0_, geek0_.prenom as prenom6_0_ from geek geek0_ where geek0_.nomCentre like ?
08:56:44,544 DEBUG main hibernate.SQL:109 - select geek0_.ID as ID1_0_, geek0_.adresseMail as adresseM2_0_, geek0_.genre as genre3_0_, geek0_.nom as nom4_0_, geek0_.nomCentre as nomCentr5_0_, geek0_.prenom as prenom6_0_ from geek geek0_
